"Время","Плейс","Количество завершенных сделок"
2025-03-17 03:00:00,PETS GO!,6
2025-03-17 03:00:00,Pet Simulator 99,43
2025-03-24 03:00:00,PETS GO!,10
2025-03-24 03:00:00,Pet Simulator 99,41
2025-03-31 03:00:00,Fisch,1
2025-03-31 03:00:00,PETS GO!,7
2025-03-31 03:00:00,Pet Simulator 99,25
2025-03-31 03:00:00,SpongeBob Tower Defense,3
2025-04-07 03:00:00,Murder Mystery 2,3
2025-04-07 03:00:00,PETS GO!,2
2025-04-07 03:00:00,Pet Simulator 99,89
2025-04-07 03:00:00,Toilet Tower Defense,1
2025-04-14 03:00:00,PETS GO!,4
2025-04-14 03:00:00,Pet Simulator 99,146
2025-04-14 03:00:00,SpongeBob Tower Defense,1
2025-04-21 03:00:00,Fisch,1
2025-04-21 03:00:00,Murder Mystery 2,11
2025-04-21 03:00:00,PETS GO!,19
2025-04-21 03:00:00,Pet Simulator 99,74
2025-04-21 03:00:00,RIVALS,1
2025-04-21 03:00:00,SpongeBob Tower Defense,1
2025-04-21 03:00:00,Toilet Tower Defense,1
2025-04-28 03:00:00,Adopt Me,1
2025-04-28 03:00:00,Fisch,13
2025-04-28 03:00:00,Murder Mystery 2,2
2025-04-28 03:00:00,PETS GO!,13
2025-04-28 03:00:00,Pet Simulator 99,83
2025-04-28 03:00:00,SpongeBob Tower Defense,1
2025-05-05 03:00:00,Adopt Me,4
2025-05-05 03:00:00,Blade Ball,1
2025-05-05 03:00:00,Murder Mystery 2,1
2025-05-05 03:00:00,PETS GO!,6
2025-05-05 03:00:00,Pet Simulator 99,72
2025-05-05 03:00:00,SpongeBob Tower Defense,5
2025-05-12 03:00:00,Adopt Me,2
2025-05-12 03:00:00,Bubble Gum Simulator INFINITY,2
2025-05-12 03:00:00,Fisch,5
2025-05-12 03:00:00,PETS GO!,15
2025-05-12 03:00:00,Pet Simulator 99,32
2025-05-12 03:00:00,SpongeBob Tower Defense,2
2025-05-19 03:00:00,Adopt Me,4
2025-05-19 03:00:00,Bubble Gum Simulator INFINITY,1
2025-05-19 03:00:00,Fisch,2
2025-05-19 03:00:00,PETS GO!,2
2025-05-19 03:00:00,Pet Simulator 99,20
2025-05-19 03:00:00,ROBUX,1