,1 000 000 000 gems,100 000 000 gems,Titanic Anime Cat,Titanic Icy Phoenix,10 000 000 gems,Huge Happy Rock,Huge Happy Computer,1 000 000 gems,Huge Blurred Axolotl,Huge Hell Rock,500m gems,Festive Skin Case,Dennis,Huge Mining Penguin,Huge Capybara,Huge Toy Chest Mimic,SpongeHenge,Huge Fluffy Cat,Huge Gargoyle Dragon,Huge Arcade Dog,Hash Slinging Slasher,100m gems,Season Premium Pass,Huge Red Wolf,Fairy Bat Dragon,100 000 gems,Huge Green Balloon Cat,Huge Party Dragon,Huge Red Dragon,Huge Nuclear Wild Dog,Huge Shadow Dominus,Candy,Huge Mr Krabs,Huge 404 Demon,Huge Hunter,Huge Void Alien,Huge Atomic Axolotl,Huge Fancy Axolotl,Nightmare,Huge Shiba,Huge Kitsune Fox,Huge Cyber Agony,Huge Heartbreak Fairy,Huge Holographic Cat,Huge Icy Phoenix,Huge Easter Dominus,Hype Egg #2,Huge Wizard Westie,Huge Cosmic Axolotl,Huge UV Kitsune,Lava Dragon,Huge Party Crown Ducky,GG Rock SpongeBob,Rainbow Mini Chest,Chroma Darkbringer,Huge Quantum Agony,Huge Slimezilla,Huge Colorful Slime,Huge Bison,Huge Propeller Cat,Huge Inferno Dominus,Huge Hubert,Chroma Heat,Captain Magma,Huge Temporal Owl,Huge Baby Kitten,Huge Guest Noob,Clan Voucher,Huge Koi Fish,Huge Hydra Axolotl,Huge Classic Dog,Huge Devil Dominus,Huge Gorgon,Huge Storm Dominus,Huge Emoji Cat,Dream Gary,Lightbringer,Huge Valentines Bear,Chroma Gemstone,Huge Poseidon Corgi,Huge Elephant,BattleAxe,Batwing,Titan Sigma Man,Chest Spell,Huge Stargazing Axolotl,Huge Lit Cat,Wavelight Greatblade,Chroma Gingerblade,Huge Mechatronic Robot,Soaring starfish,Chroma Boneblade,Huge Snow Elf,Elastic Waistband,Huge Warrior Wolf,Ram,Moby,Huge Shuriken Corgi,Huge Inferno Cat,Huge Snowflake Dominus,Huge Prison Cat,Huge Red Panda,Huge Stealth Dragon,Huge Clover Griffin,Huge Wild Corrupt Agony,Huge Tiedye Bunny,Huge Pumpkin Scarecrow,Huge Abyssal Axolotl,Huge Punksky,Huge Bat,Huge Egg Dino,Royalty Charm,Huge Abyssal Jellyfish,Exclusive Anime Egg,Rainbow Shock,Abyssal Dragon,Hallowscythe,Huge Rave Butterfly,Sea King Jaw,Cerberus,Chameleon,Huge Angry Yeti,Overload Charm,Xmas,The Kraken,Huge Fossil Dragon,Huge Robber Pug,Huge Lucki Elephant,Huge Sorcerer Bear,Huge Squirrel,Huge Skeleton Cat,Huge Valentines Dominus,Huge Shattered Heart Agony,Huge Jolly Dino,Huge Dino Dog,Eternal Frostwhale,Huge Electric Penguin,Huge Alien Octopus,Yellow Seer,Winters Edge,Vampires Edge,Peppermint,Phaser,Sea Bear,Huge Loveserker,Golden Sea Pearl,Huge Mining Monkey,Huge Nutcracker Squirrel,Crystallized Seadragon,Green Seer,Huge Mosaic Griffin,Phantom Megalodon,Huge Helicopter Cat,Huge Astronaut Cat,Nessie,Huge Pineapple Cat,Lovestorm Eel,Huge Circuit Cat,Diamond Fishing Rod,Runic Pickaxe,500 000 gems,Band Geek Mrs. Puff,Band Geek Mr. Krabs,Exclusive Raffle Ticket,Diamond Shovel,Scylla,Marshmallow Kitsune,Huge Empyrean Dragon,Magma Leviathan,Huge Anubis,Ancient Megalodon,Frozen Leviathan,Secret Key,Huge Valentine's Bear,Orca,Huge Pufferfish,Octophant,Megalodon,Royal Egg,Obsidian Pickaxe,Hype Egg,Moon Egg,Crowned Anglerfish,God Potion,Exalted Relic,Huge Sphinx,King Neptune,Training Rod
10-03,20.0,5.75,0.0,0.0,5.15,7.56,4.05,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-03,10.0,15.2,0.0,0.0,1.73,1.59,7.29,2.13,0.33,1.13,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5,0.33,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.56,0.0,2.5,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-03,5.0,16.8,0.0,0.0,0.6,0.0,0.0,1.26,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.38,0.0,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.33,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.33,0.09,0.0,0.0,0.0,0.33,0.33,0.0,0.33,0.33,0.0,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31-03,8.2,6.4,0.0,0.0,3.04,0.0,0.0,0.49,0.0,1.23,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.0,0.0,0.46,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
07-04,22.8,6.15,0.0,0.0,13.9,3.04,0.38,0.55,0.0,2.52,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.67,0.0,0.0,0.0,2.5,0.92,1.2,0.77,0.0,0.0,0.0,0.66,0.0,1.32,0.0,0.0,0.0,1.0,0.66,0.0,0.0,0.0,0.0,0.56,0.26,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.45,0.42,0.0,0.0,0.0,0.0,0.65,0.13,1.25,1.25,0.0,1.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-04,55.6,15.7,0.0,0.0,5.07,1.11,2.23,1.38,11.8,1.33,0.0,0.0,0.0,0.25,6.0,3.2,0.0,3.77,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8,0.0,0.66,1.18,0.0,0.0,1.0,0.5,0.0,1.3,0.0,0.0,0.0,0.0,0.72,0.0,2.31,1.3,2.3,1.39,0.53,0.0,0.65,0.0,0.0,0.0,0.54,0.0,1.1,1.2,0.2,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.65,1.3,1.3,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.6,0.25,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.7,0.0,0.27,0.13,0.0,0.33,0.0,0.0,0.65,0.0,0.65,0.0,0.4,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21-04,11.3,11.7,0.0,0.0,2.82,2.42,2.75,1.51,0.5,0.0,0.0,8.0,0.0,3.16,0.05,0.0,0.0,0.0,5.2,1.33,0.0,0.0,0.0,0.25,0.0,4.0,0.0,0.0,0.46,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.24,0.46,0.0,0.65,0.0,0.0,0.0,0.01,1.6,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.2,0.2,0.18,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
28-04,10.4,20.2,0.0,54.0,7.11,2.31,1.32,1.15,0.0,1.65,0.0,0.0,0.0,0.22,0.0,0.21,5.43,0.21,0.0,0.0,0.0,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,1.98,0.0,0.0,2.5,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.57,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.5,0.0,1.45,0.0,1.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.18,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.23,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.13,0.09,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.05,0.0,0.04,0.04,0.0,0.0,0.04,0.04,0.0,0.03,0.0,0.0,0.03,0.0,0.02,0.01,0.01,0.0,0.0,0.0
05-05,34.4,20.2,0.0,0.0,1.47,0.13,0.0,0.27,0.0,0.39,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.27,0.0,0.33,4.65,0.0,4.37,1.75,4.0,0.0,0.0,0.0,0.0,0.87,0.3,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-05,14.4,13.9,55.0,0.0,4.56,0.03,0.0,0.27,0.0,0.66,8.46,0.0,6.4,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
Сумма,192.10000000000002,132.0,55.0,54.0,45.45,18.19,18.02,17.36,12.63,9.57,8.46,8.0,6.4,6.25,6.05,5.61,5.43,5.24,5.2,4.84,4.65,4.4,4.37,4.17,4.0,4.0,4.0,3.96,3.7199999999999998,3.46,3.33,3.0,3.0,3.0,2.66,2.64,2.62,2.56,2.5,2.5,2.45,2.37,2.33,2.31,2.3,2.3,2.19,2.15,2.1,2.1,2.08,2.0,1.8,1.7600000000000002,1.6,1.55,1.53,1.5,1.5,1.49,1.45,1.45,1.4,1.4,1.37,1.35,1.32,1.3,1.3,1.3,1.3,1.3,1.29,1.25,1.25,1.25,1.2,1.1300000000000001,1.1,1.1,1.08,1.0,1.0,1.0,1.0,0.95,0.9199999999999999,0.9,0.9,0.9,0.8899999999999999,0.85,0.8200000000000001,0.8,0.8,0.8,0.7,0.7,0.6900000000000001,0.66,0.66,0.66,0.66,0.66,0.65,0.65,0.65,0.65,0.64,0.6000000000000001,0.6,0.6,0.5900000000000001,0.5,0.5,0.5,0.47,0.45,0.45,0.44,0.4,0.37,0.36,0.35,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.31,0.3,0.3,0.3,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.21,0.2,0.2,0.2,0.18,0.16,0.14,0.13,0.13,0.09,0.08,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01
